"","ID","Beta","HR","pvalue","GP1","GP2","Hr-Inv-lst","Concordance","Std_Error","ENSEMBL_clean","Gene_Symbol","Gene_Name"
"ENSG00000145147.20","ENSG00000145147.20",0.387975345031449,1.47399344257817,0.0121046761748797,"95","126","0.678429069705286",0.547669887364544,0.0222439331570172,"ENSG00000145147","SLIT2","slit guidance ligand 2"
"ENSG00000200761.1","ENSG00000200761.1",-0.37130383234538,0.689834315736775,0.0178021640575639,"84","137","1.4496234489755",0.545054182458763,0.0213596170038537,"ENSG00000200761","RN7SKP113","RN7SK pseudogene 113"
"ENSG00000078319.10","ENSG00000078319.10",-0.329918235845681,0.718982518026213,0.0450455784696346,"142","79","1.39085440178052",0.510596273955053,0.0221887502991397,"ENSG00000078319",NA,NA
"ENSG00000151233.11","ENSG00000151233.11",0.378152778327226,1.45958591893755,0.0149404796513105,"106","115","0.685125820292864",0.537847648534671,0.0222253993405826,"ENSG00000151233","GXYLT1","glucoside xylosyltransferase 1"
"ENSG00000244682.7","ENSG00000244682.7",0.397344899260906,1.48786900648704,0.0276472084746943,"57","164","0.672102178108453",0.532242566593712,0.0198968670274479,"ENSG00000244682",NA,NA
"ENSG00000082068.9","ENSG00000082068.9",-0.32230168439455,0.724479593170456,0.0460039639997147,"71","150","1.3803011284608",0.52730475631239,0.0202049404577434,"ENSG00000082068","WDR70","WD repeat domain 70"
"ENSG00000168675.19","ENSG00000168675.19",1.53921489817469,4.66092952986737,0.0312104748298542,"6","215","0.214549478508948",0.512971761063364,0.00901817729617423,"ENSG00000168675","LDLRAD4","low density lipoprotein receptor class A domain containing 4"
"ENSG00000237506.3","ENSG00000237506.3",-0.694404388369158,0.499371791072723,0.0118205729369914,"201","20","2.00251599685248",0.52372818021673,0.0151577103803638,"ENSG00000237506","RPSAP15","ribosomal protein SA pseudogene 15"
"ENSG00000201207.1","ENSG00000201207.1",-0.314029615794196,0.730497393578595,0.0499796271449062,"138","83","1.36893027790442",0.524235306678055,0.0221229832338317,"ENSG00000201207",NA,NA
"ENSG00000116213.16","ENSG00000116213.16",-0.8772216780121,0.41593691451872,0.0370026403536845,"213","8","2.40421074709634",0.515000266908664,0.0106666905391051,"ENSG00000116213","WRAP73","WD repeat containing, antisense to TP73"
"ENSG00000164114.19","ENSG00000164114.19",0.409860022485655,1.50660687926611,0.0416342403060555,"178","43","0.663743152750714",0.522607163828538,0.01597716838204,"ENSG00000164114","MAP9","microtubule associated protein 9"
